0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:32 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:34:05 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:34:08 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:34:22 +0530] "GET /EV_Charging_Station_Finder/index.html HTTP/1.1" 200 15225
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:34:28 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 200 17679
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:34:28 +0530] "GET /EV_Charging_Station_Finder/ev3.jpg HTTP/1.1" 200 116683
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:34:28 +0530] "GET /EV_Charging_Station_Finder/ev4.jpeg HTTP/1.1" 200 7118
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:34:28 +0530] "GET /EV_Charging_Station_Finder/ev6.png HTTP/1.1" 200 273584
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:34:28 +0530] "GET /EV_Charging_Station_Finder/ev2.jpeg HTTP/1.1" 200 9378
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:34:28 +0530] "GET /EV_Charging_Station_Finder/ev5.png HTTP/1.1" 200 135476
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:34:29 +0530] "GET /EV_Charging_Station_Finder/ev.png HTTP/1.1" 200 596624
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:34:36 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:34:36 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:35:52 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:35:54 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:35:57 +0530] "GET /EV_Charging_Station_Finder/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:36:09 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:36:18 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:36:19 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:36:29 +0530] "GET /EV_Charging_Station_Finder/img/favicon.ico HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:36:30 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:36:45 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:36:58 +0530] "GET /EV_Charging_Station_Finder/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:00 +0530] "GET /EV_Charging_Station_Finder/loginstation.html HTTP/1.1" 200 17766
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:10 +0530] "POST /EV_Charging_Station_Finder/LoginStation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:12 +0530] "GET /EV_Charging_Station_Finder/menu2.jsp HTTP/1.1" 200 17343
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:16 +0530] "GET /EV_Charging_Station_Finder/LoginStation?action1=RegisterStation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:16 +0530] "GET /EV_Charging_Station_Finder/addnewstation.html HTTP/1.1" 200 21360
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:21 +0530] "GET /EV_Charging_Station_Finder/LoginStation?action1=ViewStation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:21 +0530] "GET /EV_Charging_Station_Finder/ViewStation.jsp HTTP/1.1" 200 18312
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:29 +0530] "GET /EV_Charging_Station_Finder/ViewStation.jsp?city=Nashik&taluka=Dindori&district=Nashik HTTP/1.1" 200 19687
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:34 +0530] "GET /EV_Charging_Station_Finder/LoginStation?action1=UpdatePowerServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:34 +0530] "GET /EV_Charging_Station_Finder/updatepower.html HTTP/1.1" 200 17996
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:42 +0530] "GET /EV_Charging_Station_Finder/UserLogin.html HTTP/1.1" 200 17726
